"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.010G015500",68.9012640747634,0.378056264594966,0.323202230687234,1.1697204681759,0.242113478415091,0.691245263180743
"Sobic.001G451100",33.9431684491632,-0.47044268298855,0.402308019143206,-1.1693594474961,0.2422588411203,0.691386084132819
"Sobic.K029400",9.30317684271694,1.29267045663551,1.10535535334874,1.16946143402598,0.242217770665464,0.691386084132819
"Sobic.002G418600",137.807639712966,-0.325394553376054,0.278335267528687,-1.16907410356295,0.242373776487978,0.69143999086069
"Sobic.005G005400",25.3089712660656,-0.523248351420052,0.44756855823058,-1.16909095109063,0.242366989307626,0.69143999086069
"Sobic.002G082900",48.9743559937074,0.35839077539268,0.306748702766738,1.16835302695709,0.242664394094928,0.691867743896762
"Sobic.003G441900",26.8328094825038,-0.559893821135292,0.479219849540057,-1.16834438655382,0.242667877946843,0.691867743896762
"Sobic.009G116900",231.242967844743,-0.320423444925594,0.274210684557226,-1.16853012289798,0.242592995912314,0.691867743896762
"Sobic.009G226200",56.8265619596271,-0.43190413645119,0.369752735422929,-1.16808909055716,0.242770830385137,0.692024235970146
"Sobic.002G271100",290.450658417421,-0.274482068323514,0.235075505047117,-1.1676336429374,0.24295457361251,0.692410916641513
"Sobic.003G021200",170.15788513275,0.280721943362754,0.240467033313431,1.1674030302393,0.243047647976535,0.69253909273029
"Sobic.001G143600",512.051006461342,0.269709210648861,0.231089692922846,1.16711917021288,0.243162247158088,0.692728538698485
"Sobic.001G080600",24.3689252923372,-0.692346075603634,0.593613795824918,-1.16632409905756,0.243483433219155,0.692821041796323
"Sobic.002G123900",18.0474915522081,-0.586848856655367,0.503070680575867,-1.16653360912148,0.243398768219568,0.692821041796323
"Sobic.003G186000",216.919863032971,-0.270192900002758,0.231617241252722,-1.16654916767593,0.243392481685764,0.692821041796323
"Sobic.004G037700",11.2306353720637,-0.693943283134683,0.594967025915174,-1.16635587000349,0.243470592948336,0.692821041796323
"Sobic.004G100200",261.134353608878,0.231977307973871,0.19883723204148,1.16666936866973,0.243343917548347,0.692821041796323
"Sobic.005G199400",31.9369212769298,0.507020823276856,0.434560787892914,1.16674315171252,0.243314110769929,0.692821041796323
"Sobic.001G173800",156.002997825754,-0.273352294639282,0.234501856568353,-1.16567219824805,0.243747004864557,0.693358374589254
"Sobic.004G032800",14.6227774664542,-0.641538831510877,0.550553409059666,-1.16526175472533,0.243913055097553,0.693358374589254
"Sobic.009G042200",123.725724495203,-0.364774765175594,0.312988419742306,-1.16545770439662,0.243833771216273,0.693358374589254
"Sobic.009G043500",46.0730700368256,0.405588700388399,0.348054313258956,1.1653028993973,0.243896405906378,0.693358374589254
"Sobic.010G035500",22.840264129641,0.624794754779828,0.536175603538059,1.16528008856986,0.243905636208915,0.693358374589254
"Sobic.003G199500",486.070884947509,0.31235764146037,0.268150968896898,1.16485740381743,0.244076718160956,0.69368665378631
"Sobic.001G157100",205.835519852585,-0.317990549897701,0.273014720953985,-1.16473774302923,0.244125166251611,0.693687417345707
"Sobic.003G058900",116.417185920322,-0.310665354001252,0.266860396722774,-1.16414933731806,0.244363497371861,0.694090675707251
"Sobic.010G089300",57.2309044471442,0.346675160203088,0.297775436965712,1.16421677938133,0.244336171977722,0.694090675707251
"Sobic.004G328400",54.5449955467929,-0.420334417502017,0.361206005490335,-1.16369720080212,0.244546744216715,0.694337216176743
"Sobic.006G188100",88.6109423930448,0.717090605924231,0.61620474103212,1.16372133833818,0.24453695905471,0.694337216176743
"Sobic.006G059000",137.869386248344,0.3147587418428,0.27064879642071,1.16297853899754,0.244838209829701,0.694753753474189
"Sobic.007G153600",7.22683205130122,-0.993970742992221,0.854529696131729,-1.16317870226361,0.244757005702545,0.694753753474189
"Sobic.008G140400",318.833906682394,-0.265301102302205,0.22810194670564,-1.16308127192167,0.244796529803834,0.694753753474189
"Sobic.002G126600",601.54345616851,0.206768391424775,0.177816930705743,1.16281610870307,0.244904119983432,0.694803846211125
"Sobic.001G004000",19.8208207656347,0.766703465662274,0.659590944905043,1.16239234571762,0.245076131022912,0.695017950456546
"Sobic.005G092600",7.85373203695892,-0.973609026896023,0.837512923871543,-1.16250030195994,0.245032302101706,0.695017950456546
"Sobic.001G516600",253.52583670842,0.340482514469259,0.293098430322383,1.16166611364912,0.245371115373791,0.695264583321321
"Sobic.002G300300",103.733220567275,0.322794962633265,0.277918244147492,1.16147453227992,0.245448974293173,0.695264583321321
"Sobic.003G043400",203.914053024047,0.270596748746666,0.233026480938493,1.1612274607455,0.245549410070073,0.695264583321321
"Sobic.003G095400",16.2101050090874,0.79115731697339,0.681092674049986,1.16160009807318,0.245397942233787,0.695264583321321
"Sobic.004G233200",327.789239810427,0.391658862854691,0.337243008658679,1.16135502530487,0.245497550859566,0.695264583321321
"Sobic.006G176600",10.019690237595,0.800044388541215,0.688647549282552,1.16176175951649,0.245332251252177,0.695264583321321
"Sobic.009G133600",41.4334029340757,0.493815707483238,0.424989261801162,1.16194866992728,0.245256315752364,0.695264583321321
"Sobic.010G236100",10.8985706726929,0.834736854235187,0.718799308634658,1.16129334601163,0.245522624572052,0.695264583321321
"Sobic.005G022100",141.647014389984,0.265624181613691,0.228774651316354,1.16107348469469,0.245612016658166,0.695305115187628
"Sobic.008G093000",1000.17030801151,0.196020124044553,0.168863493587637,1.1608200202421,0.245715099561783,0.695460193334097
"Sobic.001G094600",14.9874106064358,-0.589944022342943,0.508350353860818,-1.16050676047029,0.245842542877629,0.69554744200277
"Sobic.009G079900",9.53780280276643,-0.891877125425514,0.768468379953449,-1.16059053136258,0.245808457868676,0.69554744200277
"Sobic.001G006000",36.4424550111504,0.490572516905279,0.423043131485466,1.15962766061865,0.24620043413149,0.695565051871532
"Sobic.001G162300",39.971305085128,-0.405226823688384,0.349355336114959,-1.1599273913911,0.246078369418276,0.695565051871532
